구분,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,
서울,성북구,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,4.4(0.9),4.5(0.8),915,6.1(0.8),5.8(0.8),917,5.3(0.8),4.6(0.7),905,3.9(0.7),4.0(0.7),900,5.8(0.7),5.3(0.8),913,3.2(0.6),3.0(0.6),915,5.3(1.1),5.9(1.1),915,4.2(0.7),3.4(0.6)
서울,송파구,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,3.0(0.5),3.0(0.5),923,1.9(0.5),1.9(0.5)*,922,3.0(0.7),3.0(0.6),927,1.5(0.4),1.4(0.4)*,924,3.3(0.6),3.0(0.5),934,3.6(0.7),3.2(0.6),920,4.2(0.5),4.2(0.6),918,2.4(0.5),2.5(0.6)
서울,양천구,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,2.6(0.5),2.4(0.5),917,2.7(0.5),2.7(0.6),912,4.2(0.8),3.8(0.6),911,3.7(0.6),3.4(0.7),916,2.1(0.4),1.8(0.4),915,3.3(0.6),3.1(0.6),915,1.9(0.4),1.7(0.5),916,2.2(0.6),2.2(0.5)*
서울,영등포구,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,2.9(0.5),2.9(0.6),915,2.9(0.5),2.9(0.5),909,2.0(0.5),2.1(0.6),913,2.7(0.6),2.7(0.6),915,5.5(0.9),5.4(0.8),914,5.6(0.8),5.7(0.9),917,3.9(0.6),3.9(0.7),915,5.0(0.7),4.6(0.7)
서울,용산구,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,2.2(0.5),2.1(0.5),916,1.1(0.3),0.9(0.4)*,919,2.0(0.4),1.8(0.5),914,0.8(0.3),0.8(0.3)*,914,3.8(0.7),4.0(0.8),919,3.4(0.7),3.3(0.7),919,3.4(0.6),3.7(0.7),923,2.2(0.6),2.0(0.5)*
서울,은평구,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,3.3(0.5),3.6(0.6),915,5.7(0.8),5.2(0.8),911,6.6(1.1),5.8(0.9),915,5.4(0.8),4.8(0.8),915,4.8(0.8),4.4(0.8),915,2.7(0.4),2.4(0.4),915,3.9(0.6),3.1(0.6),915,3.2(0.6),2.6(0.5)
서울,종로구,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,4.1(0.8),4.0(0.8),910,5.6(0.8),5.5(0.8),908,3.5(0.6),2.8(0.5),917,3.7(0.6),3.4(0.6),912,5.3(0.7),5.0(0.8),916,7.6(1.0),6.9(1.0),915,4.9(0.7),4.5(0.7),913,7.6(1.1),6.9(1.0)
서울,중구,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,1.7(0.4),1.9(0.6),914,2.2(0.5),2.1(0.5),907,2.2(0.5),2.1(0.5),908,1.0(0.3),0.7(0.3)*,920,2.4(0.5),2.0(0.5),911,2.7(0.6),2.5(0.6),912,3.7(0.7),3.2(0.6),913,3.8(0.8),3.4(0.7)
서울,중랑구,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,5.2(0.8),5.5(0.9),915,4.1(0.8),4.3(0.8),914,6.5(1.1),6.5(1.1),912,4.9(0.8),4.9(0.9),913,4.5(0.8),4.1(0.7),916,5.1(0.9),5.2(1.0),916,6.9(0.9),7.5(1.0),915,2.8(0.6),2.8(0.7)
부산,강서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,3.0(0.6),3.2(0.8),900,3.2(0.7),3.3(0.8),901,1.6(0.5),1.8(0.6)*,901,1.1(0.4),1.2(0.4)*,901,1.8(0.5),1.7(0.5)*,901,1.5(0.4),1.9(0.7)*,901,1.5(0.4),1.3(0.3)*,899,1.9(0.5),1.9(0.6)*
부산,금정구,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,1.1(0.4),0.9(0.4)*,910,3.3(0.5),2.6(0.6),909,2.0(0.5),1.7(0.4),909,1.6(0.4),1.6(0.5),909,4.1(0.7),4.4(0.9),909,6.3(0.8),5.2(0.8),909,3.7(0.7),4.0(0.9),909,4.8(0.7),3.7(0.7)
부산,기장군,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,3.4(0.6),3.3(0.7),906,5.5(0.9),4.5(0.8),906,3.7(0.7),3.1(0.6),895,1.7(0.5),1.5(0.4)*,906,4.3(0.8),4.0(0.7),907,3.1(0.6),2.6(0.5),904,4.1(0.7),3.4(0.6),904,5.7(0.9),5.0(0.8)
부산,남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,2.6(0.6),2.0(0.4),908,3.2(0.6),2.7(0.5),906,3.1(0.5),2.7(0.5),908,2.5(0.8),2.3(0.7)*,909,3.0(0.5),2.8(0.6),909,5.9(1.0),5.3(1.1),912,3.9(0.6),3.7(0.8),909,3.0(0.6),2.8(0.7)
부산,동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,4.2(0.7),3.8(0.8),901,4.7(0.7),4.3(0.8),904,2.5(0.4),1.7(0.5),903,4.7(0.8),4.6(1.2),903,3.6(0.7),3.5(0.8),904,4.3(0.8),3.0(0.7),902,3.0(0.5),2.3(0.6),903,5.3(0.9),4.2(0.9)
부산,동래구,,,,,,,,,,,,,,,,,,,,,,,,,,,,916,2.5(0.5),2.2(0.5),912,2.2(0.5),1.8(0.4),909,3.0(0.6),2.7(0.6),909,1.0(0.5),1.1(0.5)*,909,1.9(0.4),1.8(0.5),908,3.3(0.5),3.3(0.7),909,3.8(0.7),3.9(0.8),909,2.8(0.5),2.1(0.5)
부산,부산진구,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,3.4(0.5),3.0(0.5),909,3.6(0.5),3.2(0.6),910,3.1(0.6),2.8(0.6),910,1.9(0.4),1.7(0.5),910,1.5(0.4),1.5(0.4)*,910,4.8(0.6),4.7(0.7),909,4.7(0.6),3.8(0.6),909,6.2(0.9),6.2(0.8)
